id,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,qt1,qt2,qt3,qt4,qt5,qt6,qt7,qt8,qt9,qt10,qt11,qt12,qt13,qt14,qt15,qt16,qt17,qt18,qt19,qt20,qt21,qt22,qt23,qt24,qt25,qt26,qt27,qt28,qt29,qt30,comment,addip,addtime
42,是,会,,支持,左手,一直会,"我是幸福的, 我是自豪的",不管聪明否，至少在人生激励着我,保留，我已经习惯原来的,"家里有左撇子, 家人是，我不是",支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0.0.1,2013/8/11
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0.0.1,2013/8/11
44,是,会,有,支持,左手,一直会,"我是幸福的, 有时比较痛苦",不管聪明否，至少在人生激励着我,保留，我已经习惯原来的,"家里有左撇子, 我的亲戚有的是","观察一段时间后，让孩子自己来决定, 支持孩子，因为世界存在差异性",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/11
45,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/11
46,是,会点,有,支持,左手,一直会,喜忧参半,想法经常和别人不同,兴趣,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/11
47,是,会,有,支持,左手,一直会,"我是幸福的, 我是自豪的","有点创新, 想法经常和别人不同",兴趣,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/11
48,是,会,没有,支持,两手俱利,一直会,"我是幸福的, 我是自豪的","有点创新, 想法经常和别人不同, 不管聪明否，至少在人生激励着我",好奇,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/11
49,是,会点,没有,无所谓,左手,只会用手,"喜忧参半, 有时比较痛苦",没感觉到,兴趣,我的亲戚有的是,"和家长沟通，看他们的态度, 观察一段时间后，让孩子自己来决定, 支持孩子，因为世界存在差异性",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/11
50,不知道,两手都会,不知道,无所谓,两手俱利,只会用手,"喜忧参半, 我是自豪的",没感觉到,好奇,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/11
51,是,会点,有,支持,左手,被纠正过来,"我是幸福的, 我是自豪的",不管聪明否，至少在人生激励着我,好奇,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/11
